intitule;code_client;mappe_sur_code_client_dgafp
(Aucune sélection);LANG0;
A1 - Débutant;LANG1;A1
A2 - Débutant avancé;LANG2;A2
B1 - Intermédiaire;LANG3;B1
B2 - Intermédiaire avancé;LANG4;B2
C1 - Courant;LANG5;C1
C2 - Parfaite maîtrise;LANG6;C2
