intitule;code_client;mappe_sur_code_client_dgafp
Validation;_TS_CO_OfferEventType_Validation;_TS_CO_OfferEventType_Validation
Archivage;_TS_CO_OfferEventType_Archivage;
RDV avec DRH;_TS_CO_OfferEventType_RDVavecDRH;
Recrutement bien parti;_TS_CO_OfferEventType_Recrutementbienparti;
Création;_TS_CO_OfferEventType_Cration;
Modification;_TS_CO_OfferEventType_Modification;
Début diffusion;_TS_CO_OfferEventType_Dbutdiffusion;_TS_CO_OfferEventType_Dbutdiffusion
Arrêt diffusion;_TS_CO_OfferEventType_Arrtdiffusion;_TS_CO_OfferEventType_Arrtdiffusion
Finalisation;_TS_CO_OfferEventType_Finalisation;_TS_CO_OfferEventType_Finalisation
Suspension du recrutement;_TS_CO_OfferEventType_Suspensiondurecrutement;_TS_CO_OfferEventType_Suspensiondurecrutement
Changement de catégorie;_TS_CO_OfferEventType_Changementdecatgorie;
Fiche envoyée;_TS_CO_OfferEventType_Ficheenvoye;
Publication programmée;_TS_CO_OfferEventType_EnAttentePublication;
