intitule;code_client;mappe_sur_code_client_dgafp
jeune diplômé;_TS_CO_ExperienceLevel_jeunediplm;debutant
1 an ou plus;_TS_CO_ExperienceLevel_1anouplus;debutant
3 ans ou plus;_TS_CO_ExperienceLevel_3ansouplus;confirme
6 ans ou plus;_TS_CO_ExperienceLevel_6ansouplus;expert
Non renseigné;_TS_CO_ExperienceLevel_Nonrenseign;
