intitule;code_client;mappe_sur_code_client_dgafp
Secrétaire de rédaction et d'édition (TCOM000012);TCOM000012;ERDOC010
Gestionnaire des sessions de jury (TCOS000007);TCOS000007;ERUSA009
Responsable d'un projet d'observation sociale (TCOS000008);TCOS000008;ERCTL025
Chargée / chargé de dévelopt de l'emploi et des territoires;TCPM000005;ERAMT018
Conseillère / conseiller de défense et de sécurité de zone;TDEF000004;ERSEC001
Fonctionnaire de sécurité des systèmes d'information (TDEF000006);TDEF000006;ERNUM050
Chargée / chargé d'opérations statistiques;TETU000009;ERCTL013
Régisseuse / régisseur d'avances et de recettes;TGBF000008;ERFIP001
Assist-conseillère tech sce social / assist-conseiller .;TGRH000007;ERGRH024
Responsable des ressources humaines;TGRH000008;ERGRH014
Acheteuse / acheteur;TMOY000018;ERACH007
Secrétaire générale / secrétaire général de ministère;TPIL000006;ERDIR006
Cadre juridique (TREG000001);TREG000001;ERJUR001
Chargée / chargé d'inspection ou de contrôle;TREG000003;ERGBF002
Inspectrice / inspecteur du travail contrôle des entreprises;TREG000012;ERGBF002
Chargée / chargé d'exploitation des SIC;TSIC000002;ERNUM016
Administratrice / administrateur en SI;TSIC000004;ERNUM010
Chargée / chargé méthod outils & qualités numérique et SIC;TSIC000006;ERNUM035
Chargée / chargé de concept° des applications informatiques;TSIC000014;ERNUM003
Conseillère-experte / conseiller-expert devt vie assoc;TSJA000001;ERAMT013
Conseillère / conseiller technique sportif;TSJA000008;ERASP024
Emploi non renseigné - Agent en recherche d'affectation;TAUT000001;FPT_TERR_NR
Chargée / chargé de création graphique;TCOM000002;ERCOM013
Agent / Agente de sûreté (TDEF000002);TDEF000002;ERSEC024
Gestionnaire budgétaire;TGBF000002;ERGBF004
Responsable des achats (TGBF000009);TGBF000009;ERACH001
Chargée / chargé des prestations financières;TGBF000013;ERGBF007
Responsable budgétaire;TGBF000014;ERGBF001
Chargée / chargé de gest° des ress. humaines de proximité;TGRH000004;ERGRH002
Cuisinière / cuisinier;TMOY000004;ERLOG022
Opératrice / opérateur de prestat° de sces ou de logistique;TMOY000019;ERLOG025
Directeur / Directrice Général-e d'administration centrale (TPIL000007);TPIL000007;ERDIR003
Cheffe / chef de pôle en DI(R)ECCTE;TPIL000013;ERDIR010
Chargée / chargé de programmes de santé publique;TSAN000002;ERSAN008
Conseillère / conseiller technique qualité et performance;TSAN000007;ERCTL004
Évaluatrice / évaluateur de risques sanitaires ou environnem;TSAN000009;ERSAN017
Technicienne / technicien support auprès des utilisateurs;TSIC000003;ERNUM032
Métier non connu;TANS;FPT_TERR_NR
Responsable des services d'accueil (TACC000001);TACC000001;ERUSA001
Chargée / chargé des relations média;TCOM000007;ERCOM008
Cheffe / chef de projet éditorial multi-supports;TCOM000008;ERCOM019
Concepteur et réalisateur de supports graphiques (TCOM000015);TCOM000015;ERCOM013
Conseillère-experte / conseiller-expert de cohésion sociale;TCOS000003;ERSOC010
Déléguée territor / délég territ dt des femmes, égalité F/H;TCOS000004;ERDIR021
Haut / Haute fonctionnaire de défense et de sécurité (TDEF000008);TDEF000008;ERSEC001
Cadre de coordination et de planification de crise;TDEF000007;ERSEC016
Référent(e) juridique (TEXP000002);TEXP000002;ERJUR010
Médecin inspecteur(trice) du travail (TEXP000005);TEXP000005;ERSAN008
Chargée / chargé de l'élaboration du budget;TGBF000010;ERGBF003
Chargée / chargé de l'ingénierie de formation;TGRH000009;ERENS013
Magasinier / Magasinière (TMOY000006);TMOY000006;ERLOG025
Chargée / chargé de la stratégie immobilière;TMOY000010;ERDIR014
Ingénieur / Ingénieure de maintenance (TMOY000012);TMOY000012;ERBAT009
Ingénieur / Ingénieure travaux (TMOY000013);TMOY000013;ERAMT018
Directrice / directeur d'établissement;TPIL000003;ERDIR004
Directrice / directeur de service déconcentré réseau DRDJSCS;TPIL000012;ERDIR004
Juriste-consultante / juriste-consultant;TREG000007;ERJUR014
Responsable d'une unité de contrôle;TREG000017;ERDIR020
Administratrice / administrateur de santé publique;TSAN000001;ERSAN025
Conseillère-experte / conseiller-expert santé publ et envirt;TSAN000004;ERSAN016
Chargée / chargé des alertes et urgences sanitaires;TSAN000011;ERSAN017
Pilote d'exploitation;TSIC000007;ERNUM013
Conseillère-experte / conseiller-expert devt polit. sportiv;TSJA000002;ERENS020
Conseillère-experte / conseiller-expert jeunesse;TSJA000003;ERDIR021
Expert(e) en métiers et qualifications d'encadrement d'EPS (TSJA000006);TSJA000006;ERDIR021
Médecin / pharmacienne /pharmacien conseil et bio du sport;TSJA000007;ERMED009
Cheffe / chef de projet web;TCOM000001;ERNUM011
Responsable ressources, politiques documentaires et archives (TCOM000006);TCOM000006;ERDIR020
Chargée / chargé de communication;TCOM000014;ERCOM017
Expert / Experte en métiers et qualifications sociales (TCOS000005);TCOS000005;ERSOC010
Chargée / chargé de conduite des politiques et dispositifs;TCPM000001;ERDIR021
Gestionnaire-instructrice / instructeur administratif;TCPM000007;ERGBF003
Responsable sécurité-sûreté;TDEF000010;ERSEC003
Évaluatrice / évaluateur des opérateurs & politiq publiq;TETU000003;ERCTL008
Chargée / chargé d'études socio-économiques;TETU000007;ERAMT007
Responsable de programmes d'études (TETU000004) (TETU000004);TETU000004;ERCTL013
