intitule;code_client;mappe_sur_code_client_dgafp
Technologies de commandes des transformations industrielles (automatismes et robotique industriels, informatique industrielle);_TS_CO_Specialisation_28;_TS_CO_Specialisation_28
Spécialités plurivalentes de l'agronomie et de l'agriculture;_TS_CO_Specialisation_29;_TS_CO_Specialisation_29
Productions végétales, cultures spécialisées et protection des cultures (horticulture, viticulture, arboriculture fruitière...);_TS_CO_Specialisation_30;_TS_CO_Specialisation_30
Productions animales, élevage spécialisé, aquaculture, soins aux animaux (y compris vétérinaire);_TS_CO_Specialisation_31;_TS_CO_Specialisation_31
Forêts, espaces naturels, faune sauvage, pêche;_TS_CO_Specialisation_32;_TS_CO_Specialisation_32
Aménagement paysager (parcs, jardins, espaces verts, terrains de sport);_TS_CO_Specialisation_33;_TS_CO_Specialisation_33
Production-Transformation : Spécialités pluritechnologiques des transformations;_TS_CO_Specialisation_34;_TS_CO_Specialisation_34
Production-Transformation : Agro-alimentaire, alimentation, cuisine;_TS_CO_Specialisation_35;_TS_CO_Specialisation_35
Production-Transformation : Transformations chimiques et apparentées (y compris industrie pharmaceutique);_TS_CO_Specialisation_36;_TS_CO_Specialisation_36
Production-Transformation : Métallurgie (y compris sidérurgie, fonderie, non-ferreux);_TS_CO_Specialisation_37;_TS_CO_Specialisation_37
Production-Transformation : Matériaux de construction, verre, céramique;_TS_CO_Specialisation_38;_TS_CO_Specialisation_38
Production-Transformation : Plasturgie, matériaux composites;_TS_CO_Specialisation_39;_TS_CO_Specialisation_39
Production-Transformation : Papier, carton;_TS_CO_Specialisation_40;_TS_CO_Specialisation_40
"Production-Transformation : Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique ; utilités ; froid, climatisation, chauffage)";_TS_CO_Specialisation_41;_TS_CO_Specialisation_41
Spécialités pluritechnologiques. Génie civil, construction, bois;_TS_CO_Specialisation_42;_TS_CO_Specialisation_42
Mines et carrières, génie civil, topographie;_TS_CO_Specialisation_43;_TS_CO_Specialisation_43
Bâtiment : construction et couverture;_TS_CO_Specialisation_44;_TS_CO_Specialisation_44
Bâtiment : finitions;_TS_CO_Specialisation_45;_TS_CO_Specialisation_45
Travail du bois et de l'ameublement;_TS_CO_Specialisation_46;_TS_CO_Specialisation_46
Matériaux souples-Spécialités pluritechnologique;_TS_CO_Specialisation_47;_TS_CO_Specialisation_47
Textile;_TS_CO_Specialisation_48;_TS_CO_Specialisation_48
Habillement (y compris mode, couture);_TS_CO_Specialisation_49;_TS_CO_Specialisation_49
Cuirs et peaux;_TS_CO_Specialisation_50;_TS_CO_Specialisation_50
Spécialités pluritechnologiques Mécanique-électricité (y compris maintenance mécano-électrique);_TS_CO_Specialisation_51;_TS_CO_Specialisation_51
Mécanique générale et de précision, usinage;_TS_CO_Specialisation_52;_TS_CO_Specialisation_52
Moteurs et mécanique auto;_TS_CO_Specialisation_53;_TS_CO_Specialisation_53
Mécanique aéronautique et spatiale;_TS_CO_Specialisation_54;_TS_CO_Specialisation_54
Structures métalliques (y compris soudure, carrosserie, coque de bateau, cellule d'avion);_TS_CO_Specialisation_55;_TS_CO_Specialisation_55
Electricité, électronique (non compris automatismes, productique);_TS_CO_Specialisation_56;_TS_CO_Specialisation_56
Spécialités plurivalentes des services;_TS_CO_Specialisation_57;_TS_CO_Specialisation_57
Spécialités plurivalentes des échanges et de la gestion (y compris administration générale des entreprises et des collectivités);_TS_CO_Specialisation_58;_TS_CO_Specialisation_58
Transport, manutention, magasinage;_TS_CO_Specialisation_59;_TS_CO_Specialisation_59
Commerce, vente;_TS_CO_Specialisation_60;_TS_CO_Specialisation_60
Finance, banques, assurances;_TS_CO_Specialisation_61;_TS_CO_Specialisation_61
Comptabilité, gestion;_TS_CO_Specialisation_62;_TS_CO_Specialisation_62
Ressources humaines, gestion du personnel, gestion de l'emploi;_TS_CO_Specialisation_63;_TS_CO_Specialisation_63
Spécialités plurivalentes de la communication;_TS_CO_Specialisation_64;_TS_CO_Specialisation_64
Journalisme et communication (y compris communication graphique et publicité);_TS_CO_Specialisation_65;_TS_CO_Specialisation_65
Techniques de l'imprimerie et de l'édition;_TS_CO_Specialisation_66;_TS_CO_Specialisation_66
Techniques de l'image et du son, métiers connexes du spectacle;_TS_CO_Specialisation_67;_TS_CO_Specialisation_67
Secrétariat, bureautique;_TS_CO_Specialisation_68;_TS_CO_Specialisation_68
Documentation, bibliothèques, administration des données;_TS_CO_Specialisation_69;_TS_CO_Specialisation_69
Informatique, traitement de l'information, réseau de transmission des données;_TS_CO_Specialisation_70;_TS_CO_Specialisation_70
Spécialités plurivalentes sanitaires et sociales;_TS_CO_Specialisation_71;_TS_CO_Specialisation_71
Santé;_TS_CO_Specialisation_72;_TS_CO_Specialisation_72
Travail social;_TS_CO_Specialisation_73;_TS_CO_Specialisation_73
Enseignement formation;_TS_CO_Specialisation_74;_TS_CO_Specialisation_74
Accueil, hôtellerie, tourisme;_TS_CO_Specialisation_75;_TS_CO_Specialisation_75
Animation culturelle, sportive et de loisirs;_TS_CO_Specialisation_76;_TS_CO_Specialisation_76
Coiffure, esthétique et autres spécialités des services aux personnes;_TS_CO_Specialisation_77;_TS_CO_Specialisation_77
Services à la collectivité -sécialités plurivalente;_TS_CO_Specialisation_78;_TS_CO_Specialisation_78
Aménagement du territoire, développement, urbanisme;_TS_CO_Specialisation_79;_TS_CO_Specialisation_79
Protection et développement du patrimoine;_TS_CO_Specialisation_80;_TS_CO_Specialisation_80
Nettoyage, assainissement, protection de l'environnement;_TS_CO_Specialisation_81;_TS_CO_Specialisation_81
Sécurité des biens et des personnes, police, surveillance (y compris hygiène et sécurité);_TS_CO_Specialisation_82;_TS_CO_Specialisation_82
Services à la collectivité : Application des droits et statuts des personnes;_TS_CO_Specialisation_83;_TS_CO_Specialisation_83
Services à la collectivité : Spécialités militaires;_TS_CO_Specialisation_84;_TS_CO_Specialisation_84
Développement personnel : Spécialités concernant plusieurs capacités;_TS_CO_Specialisation_85;_TS_CO_Specialisation_85
Développement personnel : Pratiques sportives (y compris arts martiaux);_TS_CO_Specialisation_86;_TS_CO_Specialisation_86
Développement personnel : Développement des capacités mentales et apprentissage de base;_TS_CO_Specialisation_87;_TS_CO_Specialisation_87
Développement personnel : Développement des capacités comportementales et relationnelles;_TS_CO_Specialisation_88;_TS_CO_Specialisation_88
Développement personnel : Développement des capacités individuelles d'organisation;_TS_CO_Specialisation_89;_TS_CO_Specialisation_89
Développement personnel : Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles;_TS_CO_Specialisation_90;_TS_CO_Specialisation_90
Développement personnel : Jeux et activités spécifiques de loisirs;_TS_CO_Specialisation_91;_TS_CO_Specialisation_91
Développement personnel : Economie et activités domestiques;_TS_CO_Specialisation_92;_TS_CO_Specialisation_92
Développement personnel : Vie familiale, vie sociale et autres formations au développement personnel;_TS_CO_Specialisation_93;_TS_CO_Specialisation_93
