intitule;code_client;mappe_sur_code_client_dgafp
Formations générales;_TS_CO_Specialisation_1;_TS_CO_Specialisation_1
Spécialités pluriscientifiques;_TS_CO_Specialisation_2;_TS_CO_Specialisation_2
Physique-chimie;_TS_CO_Specialisation_3;_TS_CO_Specialisation_3
Chimie-biologie, biochimie;_TS_CO_Specialisation_4;_TS_CO_Specialisation_4
Sciences naturelles (biologie-géologie);_TS_CO_Specialisation_5;_TS_CO_Specialisation_5
Physique;_TS_CO_Specialisation_7;_TS_CO_Specialisation_7
Sciences de la Terre;_TS_CO_Specialisation_9;_TS_CO_Specialisation_9
Sciences de la vie;_TS_CO_Specialisation_10;_TS_CO_Specialisation_10
Sciences humaines et droit- Spécialités pluridisciplinaires;_TS_CO_Specialisation_11;_TS_CO_Specialisation_11
Géographie;_TS_CO_Specialisation_12;_TS_CO_Specialisation_12
Economie;_TS_CO_Specialisation_13;_TS_CO_Specialisation_13
Sciences humaines & droit- Sciences (y compris démographie, anthropologie;_TS_CO_Specialisation_14;_TS_CO_Specialisation_14
Psychologie;_TS_CO_Specialisation_15;_TS_CO_Specialisation_15
Linguistique;_TS_CO_Specialisation_16;_TS_CO_Specialisation_16
Histoire;_TS_CO_Specialisation_17;_TS_CO_Specialisation_17
Philosophie, éthique et théologie;_TS_CO_Specialisation_18;_TS_CO_Specialisation_18
Droit, sciences politiques;_TS_CO_Specialisation_19;_TS_CO_Specialisation_19
Spécialités littéraires et artistiques plurivalentes;_TS_CO_Specialisation_20;_TS_CO_Specialisation_20
Français, littérature et civilisation française;_TS_CO_Specialisation_21;_TS_CO_Specialisation_21
Arts plastiques;_TS_CO_Specialisation_22;_TS_CO_Specialisation_22
Musique, arts du spectacle;_TS_CO_Specialisation_23;_TS_CO_Specialisation_23
Autres disciplines artistiques et spécialités artistiques plurivalentes;_TS_CO_Specialisation_24;_TS_CO_Specialisation_24
Langues et civilisations anciennes;_TS_CO_Specialisation_25;_TS_CO_Specialisation_25
Langues vivantes, civilisations étrangères et régionales;_TS_CO_Specialisation_26;_TS_CO_Specialisation_26
Technologies industrielles fondamentales (génie industriel et procédés de transformation, spécialités à dominante fonctionnelle);_TS_CO_Specialisation_27;_TS_CO_Specialisation_27
