intitule;code_client;mappe_sur_code_client_dgafp
jeune diplômé;_TS_CO_ExperienceLevel_jeunediplm;Débutant
1 an ou plus;_TS_CO_ExperienceLevel_1anouplus;Débutant
3 ans ou plus;_TS_CO_ExperienceLevel_3ansouplus;Confirmé
6 ans ou plus;_TS_CO_ExperienceLevel_6ansouplus;Expert
Non renseigné;_TS_CO_ExperienceLevel_Nonrenseign;
Débutant;debutant;Débutant
Confirmé;confirme;Confirmé
Expert;expert;Expert
