intitule;code_client;mappe_sur_code_client_dgafp
GRH;GRH;CONTRACTUELS
RENOIRH;RENOIRH;CONTRACTUELS
CDD;TC01;CONTRACTUELS
CDI;TC02;TITULAIRE_CONTRACTUEL
CCN CDI NOUVELLE EMBAUCHE;CCNCDINE;TITULAIRE_CONTRACTUEL
CONTRAT APPRENTISSAGE;APPREN;CONTRACTUELS
CCN CDI;CDI;TITULAIRE_CONTRACTUEL
CUI CDD;CUICDD;CONTRACTUELS
APPRENTI CDD OB;APP7;CONTRACTUELS
CCN ACCOMPAGNEMENT CDI;ACCOMPCDI;TITULAIRE_CONTRACTUEL
CONTRAT ACCOMPAGNEMENT CAE;ACCOMP;CONTRACTUELS
PROFESSIONNALISATION CDD;PROCDD;CONTRACTUELS
CCN CDD MESURES EMPLOI;CES;CONTRACTUELS
SURCHARGE CDD;SURCHA;CONTRACTUELS
STAGE;STAGE;CONTRACTUELS
TITULAIRE FONCTION PUBLIQUE;TITULAIRE FONCTION PUBLIQUE;TITULAIRE_CONTRACTUEL
TITULAIRE UCANSS;TITULAIRE UCANSS;CONTRACTUELS
TITULAIRE FONCTION PUBLIQUE / UCANSS;TITULAIRE FONCTION PUBLIQUE / UCANSS;TITULAIRE_CONTRACTUEL
VACATION AUTRES CDD;AUTCDD;CONTRACTUELS
STAGIAIRE > FRANCHISE;STA;CONTRACTUELS
APPRENTI CDD;APPCDD;CONTRACTUELS
CONTRACTUEL CDD SECTEUR PUBLIC;CONTRCDD;CONTRACTUELS
REMP AGT ABS CDD;REMPLA;CONTRACTUELS
Contrat d'apprentissage;TC21;
